strategy,parameter,level,count,dominant_transmission,dominant_count,dominant_share,material_saving_share,rebound_share,upstream_contraction_share,mean_pct_virgin_use,mean_pct_toaster_service,mean_upstream_output_reduction_m,mean_circular_activity_gain_c
virgin_material_tax,metal_quality,0.75,2892,upstream_contraction_with_service_contraction,1395,0.4823651452282158,0.5674273858921162,0.016597510373443983,0.5674273858921162,-0.025530439367410895,-0.050638310911521066,1.014275104422163,-4.35762409982577
virgin_material_tax,metal_quality,0.85,2883,upstream_contraction_with_service_contraction,1395,0.4838709677419355,0.5681581685744017,0.01768990634755463,0.5681581685744017,-0.02559281638051243,-0.0510877431100509,1.016746618675947,-4.383867234857229
virgin_material_tax,metal_quality,0.95,2907,upstream_contraction_with_service_contraction,1401,0.48194014447884415,0.5686274509803921,0.017543859649122806,0.5686274509803921,-0.02541398495872948,-0.05115743175248655,1.0096519135128181,-4.3964529585005465
virgin_material_tax,metal_intensity_ref,0.15,2877,upstream_contraction_with_service_contraction,1386,0.48175182481751827,0.6287799791449427,0.01564129301355579,0.6287799791449427,-0.025972280197453724,-0.05221558741297381,1.0342175303524088,-4.637056305663901
virgin_material_tax,metal_intensity_ref,0.25,2904,upstream_contraction_with_service_contraction,1668,0.5743801652892562,0.628099173553719,0.01756198347107438,0.628099173553719,-0.026029094231795565,-0.05392125408496048,1.0365340751804508,-5.148553881000932
virgin_material_tax,metal_intensity_ref,0.35,2901,upstream_contraction_with_service_contraction,1137,0.39193381592554294,0.44777662874870733,0.01861427094105481,0.44777662874870733,-0.024538378067351804,-0.04675458317718828,0.9700390992986913,-3.3537454061802343
virgin_material_tax,yield_ref,3.0,2904,upstream_expansion,888,0.30578512396694213,0.3884297520661157,0.05165289256198347,0.3884297520661157,-0.02184701815831752,-0.042874069147013534,0.8599684430989234,-2.4231251347215332
virgin_material_tax,yield_ref,4.0,2901,upstream_contraction_with_service_contraction,1911,0.6587383660806618,0.6587383660806618,0.0,0.6587383660806618,-0.026932815695512573,-0.055355824722118335,1.0738931399626792,-5.62329929464603
virgin_material_tax,yield_ref,5.0,2877,upstream_contraction_with_service_contraction,1632,0.5672575599582899,0.6579770594369134,0.0,0.6579770594369134,-0.02777919203550928,-0.05469345440565919,1.1077197978527655,-5.099576030639951
refurbishment_support,sigma_routes,1.25,2916,upstream_expansion,1234,0.4231824417009602,0.27434842249657065,0.11419753086419752,0.27434842249657065,-0.0013235670932995438,-0.06595014499678903,0.05443573346964662,-6.732163662890246
refurbishment_support,sigma_routes,2.0,2902,upstream_expansion,1128,0.388697450034459,0.33080634045485874,0.0833907649896623,0.33080634045485874,-0.003534586816901984,-0.06452628760085129,0.14153790053090978,-6.189304565459145
refurbishment_support,sigma_routes,3.0,2877,upstream_expansion,956,0.33229058046576293,0.3986791797010775,0.06187000347584289,0.3986791797010775,-0.005143013343415307,-0.06328212084191677,0.20561793351744503,-5.778211635693029
refurbishment_support,sigma_metal,1.25,2915,upstream_expansion,1067,0.3660377358490566,0.35094339622641507,0.08644939965694683,0.35094339622641507,-0.0037116850922062194,-0.06739824526118313,0.14890265755809964,-6.742077351554163
refurbishment_support,sigma_metal,2.0,2896,upstream_expansion,1107,0.3822513812154696,0.33321823204419887,0.08667127071823204,0.33321823204419887,-0.0032530252708001645,-0.06385585039190629,0.13066189541078843,-6.134997581678563
refurbishment_support,sigma_metal,3.0,2884,upstream_expansion,1144,0.39667128987517336,0.31865464632454926,0.08668515950069348,0.31865464632454926,-0.0030072880539869836,-0.062495195360330213,0.12087111129555322,-5.823910363910448
refurbishment_support,sigma_eol,0.5,2897,upstream_contraction_with_circular_expansion,1097,0.3786675871591301,0.7169485674836037,0.12012426648256817,0.7169485674836037,-0.01460905670886151,-0.01384335225618904,0.5830406853408706,-0.135362325067976
refurbishment_support,sigma_eol,2.0,2897,upstream_expansion,1488,0.5136347946151191,0.19088712461166724,0.11183983431135658,0.19088712461166724,0.0018513674928676616,-0.04897229989856635,-0.07295541647800029,-4.5224127042847195
refurbishment_support,sigma_eol,4.0,2901,upstream_expansion,1812,0.6246122026887281,0.09548431575318855,0.027921406411582212,0.09548431575318855,0.002773417332994592,-0.1308692267487678,-0.109161200630078,-14.03746697890537
refurbishment_support,eta_service,0.5,2915,upstream_expansion,999,0.3427101200686106,0.38010291595197254,0.06174957118353345,0.38010291595197254,-0.005214461285252338,-0.06553589649091467,0.20855803313491433,-4.216142362414744
refurbishment_support,eta_service,1.0,2865,upstream_expansion,1106,0.38603839441535776,0.3448516579406632,0.05863874345549738,0.3448516579406632,-0.0035185885207762095,-0.06463511199530393,0.1409016138215587,-6.373140988840685
