strategy,sigma_eol,eta_service,count,dominant_transmission,dominant_share,material_saving_share,rebound_share,upstream_contraction_share,mean_pct_virgin_use,mean_pct_toaster_service,mean_upstream_output_reduction_m,mean_circular_activity_gain_c
refurbishment_support,0.5,1.5,972,upstream_contraction_with_service_contraction,0.36522633744855965,0.7253086419753086,0.19444444444444445,0.7253086419753086,-0.01322082885373299,-0.011959313810529436,0.5263642460080205,-0.3202386360553781
refurbishment_support,2.0,0.5,972,upstream_expansion,0.4444444444444444,0.2777777777777778,0.07407407407407407,0.2777777777777778,7.708008919478582e-5,-0.04945392304742578,-0.0030811715932259555,-2.6033482263302656
refurbishment_support,2.0,1.0,953,upstream_expansion,0.5393494228751312,0.18572927597061908,0.0944386149003148,0.18572927597061908,0.0016981408048389987,-0.04797837664176925,-0.06719291451447668,-4.1394864701639085
refurbishment_support,2.0,1.5,972,upstream_expansion,0.5576131687242798,0.10905349794238683,0.16666666666666666,0.10905349794238683,0.0037758864126838654,-0.04946517146547607,-0.14847952182701124,-6.8169182327712035
refurbishment_support,4.0,0.5,972,upstream_expansion,0.581275720164609,0.16872427983539096,0.0,0.16872427983539096,7.926646564701278e-5,-0.13202834882792888,-0.003168592192805446,-9.967750911315647
refurbishment_support,4.0,1.0,958,upstream_expansion,0.6012526096033403,0.11795407098121086,0.028183716075156576,0.11795407098121086,0.0025267054727464784,-0.13111986896948452,-0.0998991755671677,-14.931307150452415
refurbishment_support,4.0,1.5,971,upstream_expansion,0.6910401647785788,0.0,0.055612770339855816,0.0,0.005713751632870536,-0.129461624371434,-0.2244009899311048,-17.22950110182519
recycling_support,0.5,0.5,972,upstream_contraction_with_service_contraction,0.4176954732510288,0.5010288065843621,0.0,0.5010288065843621,-0.0011706905648218712,-0.009917344866995956,0.04681717764045134,-2.097556432606939
recycling_support,0.5,1.0,953,upstream_contraction_with_service_contraction,0.640083945435467,0.6747114375655824,0.0,0.6747114375655824,-0.002980797700143529,-0.01208017326641592,0.11869020506005343,-2.152876123201799
recycling_support,0.5,1.5,972,upstream_contraction_with_service_contraction,0.6666666666666666,0.6944444444444444,0.0,0.6944444444444444,-0.003951712178909295,-0.013392385851672784,0.15680640936830365,-2.0826595882874286
recycling_support,2.0,0.5,972,upstream_expansion,0.5720164609053497,0.13065843621399176,0.0,0.13065843621399176,7.569679365673918e-5,-0.04679473105490213,-0.0030259243977686545,-11.569452811580401
recycling_support,2.0,1.0,957,upstream_contraction_with_service_contraction,0.5287356321839081,0.5297805642633229,0.0,0.5297805642633229,-0.004580686171278766,-0.05318584928369711,0.18216763575666578,-11.721200488567344
recycling_support,2.0,1.5,972,upstream_contraction_with_service_contraction,0.7129629629629629,0.7129629629629629,0.0,0.7129629629629629,-0.010251716446796426,-0.06058740633217297,0.4064685837003165,-11.656768535367064
recycling_support,4.0,0.5,972,upstream_expansion,0.6358024691358025,0.09465020576131687,0.0,0.09465020576131687,7.92671976673249e-5,-0.11887888261600119,-0.0031686214660088595,-25.950402473031943
recycling_support,4.0,1.0,953,upstream_expansion,0.3955928646379853,0.3389296956977964,0.0,0.3389296956977964,-0.005098422064478737,-0.1258844265730121,0.20270934320008566,-26.062770863540226
recycling_support,4.0,1.5,972,upstream_contraction_with_service_contraction,0.5370370370370371,0.5370370370370371,0.0,0.5370370370370371,-0.015445894653386479,-0.1403331779347543,0.6119986045893234,-25.989387003511826
