group_by,group,dimension,country,component,count,mean_delta,mean_pct,expansion_share,contraction_share
transmission,upstream_contraction_with_circular_expansion,country_activity_output,C,repair_c,2479,-1.9789237001869193,-0.06598006069596607,0.022993142396127472,0.9770068576038725
transmission,upstream_contraction_with_circular_expansion,country_activity_output,C,reuse_c,2479,-1.071811830757321,-0.03574251988826956,0.012101653892698669,0.9878983461073013
transmission,upstream_contraction_with_service_contraction,country_activity_output,M,bread_m,9429,2.63750087513029e-18,1.0550003500521241e-19,0.0,0.0
transmission,upstream_contraction_with_service_contraction,country_activity_output,M,virgin_material_m,9429,-1.2601516781257633,-0.03171885462395351,0.0,1.0
transmission,upstream_contraction_with_service_contraction,country_activity_output,C,bread_c,9429,2.1228273813274328,0.011882703197974225,0.451373422420193,0.5486265775798069
transmission,upstream_contraction_with_service_contraction,country_activity_output,C,recycled_material_c,9429,-1.109700972172479,-0.07531644970276234,0.08760207869339272,0.9123979213066072
transmission,upstream_contraction_with_service_contraction,country_activity_output,C,new_production_c,9429,-5.081932070055105,-0.05036323712214153,0.24530703149856825,0.7546929685014317
transmission,upstream_contraction_with_service_contraction,country_activity_output,C,refurbishment_c,9429,-2.150408504729744,-0.06023019504964477,0.19524870081662954,0.8044331318273412
transmission,upstream_contraction_with_service_contraction,country_activity_output,C,repair_c,9429,-4.7676365909495795,-0.15905196221149087,0.011135857461024499,0.9888641425389755
transmission,upstream_contraction_with_service_contraction,country_activity_output,C,reuse_c,9429,-2.8084494899438774,-0.09368569418149664,0.09958638243716195,0.900413617562838
transmission,upstream_expansion,country_activity_output,M,bread_m,6828,1.7170408816698378e-17,6.86816352667936e-19,0.0,0.0
transmission,upstream_expansion,country_activity_output,M,virgin_material_m,6828,0.1343042612608503,0.003406392616974108,1.0,0.0
transmission,upstream_expansion,country_activity_output,C,bread_c,6828,-11.2038746465926,-0.06509055847052185,0.2362331575864089,0.763766842413591
transmission,upstream_expansion,country_activity_output,C,recycled_material_c,6828,-2.321182319269801,-0.15742046802519294,0.24985354422964265,0.7501464557703573
transmission,upstream_expansion,country_activity_output,C,new_production_c,6828,-5.824393975800982,-0.05736639410141344,0.27738722905682484,0.7226127709431751
transmission,upstream_expansion,country_activity_output,C,refurbishment_c,6828,1.5184861346638128,0.04839484644363541,0.5894844756883422,0.38986526069127125
transmission,upstream_expansion,country_activity_output,C,repair_c,6828,-7.687140298732256,-0.2563199405112704,0.08655536028119508,0.8875219683655536
transmission,upstream_expansion,country_activity_output,C,reuse_c,6828,-7.541198283914086,-0.2514525004273343,0.0984182776801406,0.8756590509666081
transmission,upstream_expansion_with_rebound,country_activity_output,M,bread_m,322,1.1033272294411493e-17,4.413308917764597e-19,0.0,0.0
transmission,upstream_expansion_with_rebound,country_activity_output,M,virgin_material_m,322,0.3430480236862304,0.008758995190721857,1.0,0.0
transmission,upstream_expansion_with_rebound,country_activity_output,C,bread_c,322,-2.331039136440833,-0.01308801938556621,0.18944099378881987,0.8105590062111802
transmission,upstream_expansion_with_rebound,country_activity_output,C,recycled_material_c,322,-0.3278661990604078,-0.022933556408960325,0.3385093167701863,0.6614906832298136
transmission,upstream_expansion_with_rebound,country_activity_output,C,new_production_c,322,-2.326070016666478,-0.02296504135349171,0.17701863354037267,0.8229813664596274
transmission,upstream_expansion_with_rebound,country_activity_output,C,refurbishment_c,322,6.290894655930413,0.20364562504857417,1.0,0.0
transmission,upstream_expansion_with_rebound,country_activity_output,C,repair_c,322,-1.5187517469341558,-0.05083801364306329,0.17701863354037267,0.8229813664596274
transmission,upstream_expansion_with_rebound,country_activity_output,C,reuse_c,322,-1.464008163523255,-0.0490045932544907,0.17701863354037267,0.8229813664596274
