strategy,side,family,component,count,median_delta,q25_delta,q75_delta,median_pct,q25_pct,q75_pct,expansion_share,contraction_share
refurbishment_support,C,eol_allocation,recycling_share,2907,-0.008962264150943422,-0.015300968740935394,-0.006002309434948977,,,,0.0,1.0
refurbishment_support,C,eol_allocation,refurbishment_share,2907,0.025170224201726932,0.009149253811474647,0.0417130910155072,,,,0.9876160990712074,0.01238390092879257
refurbishment_support,C,activity,new_production,2907,-4.151492732135381,-6.818362759594294,-2.5133447847689396,-0.03953802729577371,-0.06644361256740129,-0.02478203013066955,0.0003439972480220158,0.999656002751978
refurbishment_support,C,activity,refurbishment,2907,3.8993902687166724,1.1226102874269586,8.090662125483078,0.12004617354997434,0.028065258557629376,0.2448226915036773,0.7660818713450293,0.23391812865497075
refurbishment_support,C,activity,repair,2907,-1.8846918214449069,-2.295147354152494,-0.9003463794126247,-0.0631203087741,-0.07650491354965636,-0.030011547468902486,0.0,1.0
refurbishment_support,C,activity,reuse,2907,-1.3443395595485512,-2.29514613865058,-0.9003456535186611,-0.044811320265901504,-0.07650487424538857,-0.030011524198462546,0.0,1.0
refurbishment_support,C,service,toaster_service,2907,-2.911521645694819,-6.5818868157570165,-0.6636288944676778,-0.014726308898471253,-0.03375999588042894,-0.003475614858341922,0.16167870657034744,0.8383212934296526
refurbishment_support,M,material,virgin_metal_output,2907,-0.41896537881650886,-0.9732597778923413,-2.26172709005823e-6,-0.010474134551443649,-0.024364658973577244,-5.654317946734092e-8,0.0,1.0
refurbishment_support,M,activity,virgin_metal_activity,2907,-0.41896537881650886,-0.9732597778923413,-2.26172709005823e-6,-0.010474134551443649,-0.024364658973577244,-5.654317946734092e-8,0.0,1.0
refurbishment_support,M,factor,total_factor_use,2907,-0.2084188822274058,-0.48397085049556665,-1.0696583458980058e-6,-0.0032064443598784306,-0.00744570542687089,-1.645628219813288e-8,0.0013759889920880633,0.998624011007912
refurbishment_support,M,factor,virgin_metal_factor_use,2907,-0.31382664215047384,-0.7326483887610706,-1.6025658631235729e-6,-0.007845665970725833,-0.018316209967882538,-4.006414661985577e-8,0.0017199862401100791,0.99828001375989
recycling_support,C,material,virgin_imports,4069,-0.17096679409565496,-0.4538306790306308,-0.05869873102094658,-0.004333280032049683,-0.011583995888598502,-0.001490427883217989,0.0,1.0
recycling_support,C,material,recycled_metal_output,4069,-0.10162942366152627,-0.34076827783493435,-0.02644289557153101,-0.006912908814550853,-0.022768317409023724,-0.0018347374769498847,0.11771934136151388,0.8822806586384861
recycling_support,C,material,recycled_metal_use,4069,-0.1016294236615245,-0.34076827783493435,-0.026442895571529235,-0.006912908814550733,-0.022768317409023957,-0.0018347374769497608,0.11771934136151388,0.8822806586384861
recycling_support,C,eol_allocation,recycling_share,4069,0.06120387496374147,0.024009237739795852,0.2413793103448275,,,,1.0,0.0
recycling_support,C,eol_allocation,refurbishment_share,4069,-0.0038224138568126453,-0.014351132527682942,0.0015427550564158232,,,,0.33472597689850087,0.6652740231014992
recycling_support,C,activity,new_production,4069,0.15361486075182995,-0.526476688511039,1.3293822391202212,0.0015170990215502016,-0.0052896771481440825,0.013028697228520316,0.5623003194888179,0.43769968051118213
recycling_support,C,activity,refurbishment,4069,-1.3443395740923663,-5.086363420961916,-0.22177528171719985,-0.04481119674254577,-0.1346153857691467,-0.006012875130652247,0.13025313344802164,0.8697468665519784
