strategy,dimension,factor,activity,component,count,mean_delta_factor_use,mean_pct_factor_use,mean_delta_factor_allocation_share,expansion_share,contraction_share
virgin_material_tax,factor_use,CAP,TOTAL,capital_total,8637,0.04559482482679686,0.00030510750110743543,,0.35533171240013894,0.3935394234109066
virgin_material_tax,factor_use,LAB,BRD,labor_bread,8637,2.5689584350187,0.02099734310950103,0.012695167751360406,0.49635290031260854,0.25251823549843694
virgin_material_tax,factor_use,LAB,VMTL,labor_virgin_material,8637,0.4128388402836522,0.03978632591120917,0.002054522399501793,0.4928794720389024,0.2559916637721431
virgin_material_tax,factor_use,LAB,RMTL,labor_recycled_material,8637,-0.046252308499218735,-0.015002688921200243,-0.00023379798388865208,0.28516846127127476,0.46370267453977076
virgin_material_tax,factor_use,LAB,NEW,labor_new_production,8637,-1.766541742501191,-0.05721480170630075,-0.008865318900205019,0.0020840569642236887,0.7467870788468218
virgin_material_tax,factor_use,LAB,REF,labor_refurbishment,8637,0.11946139195723668,0.0064540858912014954,0.0005862775883487745,0.3289336575199722,0.4199374782910733
virgin_material_tax,factor_use,LAB,REP,labor_repair,8637,-1.2225178295210402,-0.10100263723550855,-0.00612635080622926,0.11323376172282042,0.6356373740882251
virgin_material_tax,factor_use,LAB,REU,labor_reuse,8637,-0.02061470769703524,-0.002785143669874984,-0.0001105000488880447,0.2671066342480028,0.48176450156304274
virgin_material_tax,factor_use,CAP,BRD,capital_bread,8637,1.3140277554344706,0.017452621913837327,0.008597722888545403,0.49600555748523795,0.2528655783258076
virgin_material_tax,factor_use,CAP,VMTL,capital_virgin_material,8637,1.0999970509722488,0.03631906691477897,0.007275930076075709,0.5126780131990274,0.23619312261201805
virgin_material_tax,factor_use,CAP,RMTL,capital_recycled_material,8637,-0.05616987801931245,-0.02629141808766246,-0.0003778883016199753,0.16602987148315387,0.5828412643278916
virgin_material_tax,factor_use,CAP,NEW,capital_new_production,8637,-1.900650320227399,-0.06228872842898711,-0.012733461950473044,0.0020840569642236887,0.7467870788468218
virgin_material_tax,factor_use,CAP,REF,capital_refurbishment,8637,-0.01037430529889076,-0.005773842661435629,-7.55306501175153e-5,0.26015977770059046,0.488711358110455
virgin_material_tax,factor_use,CAP,REP,capital_repair,8637,-0.35323611381560077,-0.1153147493084973,-0.002360979688015064,0.10142410559221952,0.647447030218826
virgin_material_tax,factor_use,CAP,REU,capital_reuse,8637,-0.04799936421871991,-0.014751006398458515,-0.0003257923743955165,0.24313997915943036,0.5057311566516152
